=========================================
This for gpu 0
=========================================
937
step=146	smmoth=0.463634	cost=0.326774	acc:0.937500
step=147	smmoth=0.463143	cost=0.458725	acc:0.875000
step=148	smmoth=0.454002	cost=0.371731	acc:0.890625
step=149	smmoth=0.440527	cost=0.319257	acc:0.921875
step=150	smmoth=0.435810	cost=0.393351	acc:0.843750
step=151	smmoth=0.429638	cost=0.374090	acc:0.843750
step=152	smmoth=0.417503	cost=0.308295	acc:0.859375
step=153	smmoth=0.398829	cost=0.230760	acc:0.953125
step=154	smmoth=0.383552	cost=0.246062	acc:0.906250
step=155	smmoth=0.386512	cost=0.413152	acc:0.875000
step=156	smmoth=0.399044	cost=0.511830	acc:0.859375
step=157	smmoth=0.482378	cost=1.232384	acc:0.671875
step=158	smmoth=0.504500	cost=0.703594	acc:0.796875
step=159	smmoth=0.504233	cost=0.501831	acc:0.843750
step=160	smmoth=0.523180	cost=0.693710	acc:0.703125
step=161	smmoth=0.503600	cost=0.327378	acc:0.890625
step=162	smmoth=0.485985	cost=0.327444	acc:0.906250
step=163	smmoth=0.473622	cost=0.362363	acc:0.890625
step=164	smmoth=0.472818	cost=0.465584	acc:0.828125
step=165	smmoth=0.470866	cost=0.453297	acc:0.796875
step=166	smmoth=0.461002	cost=0.372225	acc:0.921875
step=167	smmoth=0.443550	cost=0.286479	acc:0.921875
step=168	smmoth=0.433152	cost=0.339572	acc:0.890625
step=169	smmoth=0.420751	cost=0.309136	acc:0.906250
step=170	smmoth=0.422902	cost=0.442261	acc:0.890625
step=171	smmoth=0.415638	cost=0.350270	acc:0.921875
step=172	smmoth=0.451832	cost=0.777571	acc:0.765625
step=173	smmoth=0.489283	cost=0.826345	acc:0.671875
step=174	smmoth=0.548120	cost=1.077648	acc:0.640625
step=175	smmoth=0.577443	cost=0.841354	acc:0.812500
step=176	smmoth=0.589059	cost=0.693603	acc:0.812500
step=177	smmoth=0.587016	cost=0.568633	acc:0.812500
step=178	smmoth=0.594263	cost=0.659486	acc:0.812500
step=179	smmoth=0.594747	cost=0.599096	acc:0.781250
step=180	smmoth=0.566509	cost=0.312372	acc:0.968750
step=181	smmoth=0.539690	cost=0.298315	acc:0.953125
step=182	smmoth=0.524106	cost=0.383852	acc:0.875000
step=183	smmoth=0.513063	cost=0.413673	acc:0.875000
step=184	smmoth=0.517526	cost=0.557700	acc:0.796875
step=185	smmoth=0.513557	cost=0.477828	acc:0.828125
step=186	smmoth=0.481901	cost=0.196998	acc:0.953125
